canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
CC(=O)Nc1ccc(Cc2cnc(N)nc2N)cc1[N+](=O)[O-],CHEMBL18912,=,=,Log 1/Ki app,,6.97,Log 1/Ki app,,6.97
COc1ccc(Cc2cnc(N)nc2N)cc1C(F)(F)F,CHEMBL277391,=,=,Log 1/Ki app,,7.69,Log 1/Ki app,,7.69
Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,CHEMBL274031,=,=,Log 1/Ki app,,6.99,Log 1/Ki app,,6.99
Nc1ncc(Cc2cccc(C(F)(F)F)c2)c(N)n1,CHEMBL19790,=,=,Log 1/Ki app,,7.02,Log 1/Ki app,,7.02
CC1(C)N=C(N)N=C(N)N1c1cccc(CNc2ccc(S(N)(=O)=O)cc2)c1,CHEMBL21258,=,=,Ki,nM,45.71,Log 1/Ki,,7.34
CC1(C)N=C(N)N=C(N)N1c1cccc(C(N)=O)c1,CHEMBL20911,=,=,Ki,nM,7244.36,Log 1/Ki,,5.14
CC1(C)N=C(N)N=C(N)N1c1cccc(C(N)=O)c1,CHEMBL20911,=,=,Ki,nM,933.25,Log 1/Ki,,6.03
COc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL18967,=,=,Log 1/Ki app,,6.93,Log 1/Ki app,,6.93
CC(=O)Nc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL19113,=,=,Log 1/Ki app,,6.89,Log 1/Ki app,,6.89
CCCCOc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL32793,=,=,Log 1/Ki app,,6.89,Log 1/Ki app,,6.89
Nc1ncc(Cc2ccc([N+](=O)[O-])cc2)c(N)n1,CHEMBL19414,=,=,Log 1/Ki app,,6.2,Log 1/Ki app,,6.2
Nc1ncc(Cc2cccc(Cl)c2)c(N)n1,CHEMBL417095,=,=,Log 1/Ki app,,6.65,Log 1/Ki app,,6.65
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,IC50,nM,1000.0,IC50,uM,1.0
Nc1nc(O)c2c(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2n1,CHEMBL61708,=,=,IC50,nM,2300.0,IC50,uM,2.3
Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,CHEMBL225072,=,=,IC50,nM,2300.0,IC50,uM,2.3
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CHEMBL119,=,=,IC50,nM,1800.0,IC50,uM,1.8
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,CHEMBL34259,=,=,IC50,nM,4400.0,IC50,uM,4.4
COC(=O)CCCCCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL13908,=,=,Ki,nM,1.9,Ki,nM,1.9
COc1cc(Cc2cnc(N)nc2N)cc(OCCCC(=O)O)c1OC,CHEMBL418347,=,=,Ki,nM,0.035,Ki,nM,0.035
Nc1nc(N)c2c3c(sc2n1)CCCCCC3,CHEMBL108006,=,=,IC50,nM,6500.0,IC50,uM,6.5
Cc1c(-c2ccc(Cl)c(Cl)c2)sc2nc(N)nc(N)c12,CHEMBL107167,=,=,IC50,nM,16000.0,IC50,uM,16.0
Cc1c(-c2ccc(Cl)c(Cl)c2)sc2nc(N)nc(N)c12,CHEMBL107167,>,>,IC50,nM,28000.0,IC50,uM,28.0
Cc1c(Cc2ccccc2)sc2nc(N)nc(N)c12,CHEMBL320811,=,=,IC50,nM,35000.0,IC50,uM,35.0
Cc1c(Cc2ccccc2)sc2nc(N)nc(N)c12,CHEMBL320811,=,=,IC50,nM,6500.0,IC50,uM,6.5
COc1cc(-c2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CHEMBL326200,>,>,IC50,nM,8000.0,IC50,uM,8.0
COc1cc(-c2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CHEMBL326200,=,=,IC50,nM,320.0,IC50,uM,0.32
COc1cc(Cc2cnc(N)nc2N)cc(OCCC(=O)O)c1OC,CHEMBL13820,=,=,Ki,nM,0.37,Ki,nM,0.37
COc1cc(Cc2cnc(N)nc2N)cc(OCCCCCCC(=O)O)c1OC,CHEMBL274430,=,=,Ki,nM,0.05,Ki,nM,0.05
Cc1sc2nc(N)nc(N)c2c1Cc1ccccc1,CHEMBL321826,>,>,IC50,nM,100000.0,IC50,uM,100.0
Cc1sc2nc(N)nc(N)c2c1Cc1ccccc1,CHEMBL321826,>,>,IC50,nM,100000.0,IC50,uM,100.0
Cc1c(-c2ccccc2)sc2nc(N)nc(N)c12,CHEMBL104555,=,=,IC50,nM,26000.0,IC50,uM,26.0
Cc1c(-c2ccccc2)sc2nc(N)nc(N)c12,CHEMBL104555,=,=,IC50,nM,3900.0,IC50,uM,3.9
COC(=O)CCCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL13877,=,=,Ki,nM,0.76,Ki,nM,0.76
COc1cc(Cc2cnc(N)nc2N)cc(OCCCCCC(=O)O)c1OC,CHEMBL14001,=,=,Ki,nM,0.024,Ki,nM,0.024
COC(=O)COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL266611,=,=,Ki,nM,11.0,Ki,nM,11.0
CCOC(=O)CCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL14002,=,=,Ki,nM,0.47,Ki,nM,0.47
COc1ccc(OC)c(CCc2csc3nc(N)nc(N)c23)c1,CHEMBL107023,=,=,IC50,nM,28000.0,IC50,uM,28.0
COc1ccc(OC)c(CCc2csc3nc(N)nc(N)c23)c1,CHEMBL107023,=,=,IC50,nM,5800.0,IC50,uM,5.8
Nc1nc(N)c2c3c(sc2n1)CCCC3,CHEMBL323155,=,=,IC50,nM,2100.0,IC50,uM,2.1
Nc1nc(N)c2c3c(sc2n1)CCCC3,CHEMBL323155,=,=,IC50,nM,2800.0,IC50,uM,2.8
COc1cc(Cc2cnc(N)nc2N)cc(OCC(=O)O)c1OC,CHEMBL14201,=,=,Ki,nM,2.6,Ki,nM,2.6
COc1ccc(OC)c(Cc2sc3nc(N)nc(N)c3c2C)c1,CHEMBL104787,=,=,IC50,nM,14000.0,IC50,uM,14.0
COc1ccc(OC)c(Cc2sc3nc(N)nc(N)c3c2C)c1,CHEMBL104787,=,=,IC50,nM,70.0,IC50,uM,0.07
Nc1nc(N)c2c3c(sc2n1)CCCCC3,CHEMBL325333,=,=,IC50,nM,1400.0,IC50,uM,1.4
Nc1nc(N)c2c3c(sc2n1)CCCCC3,CHEMBL325333,=,=,IC50,nM,860.0,IC50,uM,0.86
COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,CHEMBL7492,=,=,IC50,nM,38.0,IC50,uM,0.038
COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,CHEMBL7492,=,=,IC50,nM,11.0,IC50,uM,0.011
COc1cc(Cc2cnc(N)nc2N)cc(OCCCCC(=O)O)c1OC,CHEMBL13673,=,=,Ki,nM,0.066,Ki,nM,0.066
COc1ccc(OC)c(CCCc2csc3nc(N)nc(N)c23)c1,CHEMBL104379,=,=,IC50,nM,55000.0,IC50,uM,55.0
COc1ccc(OC)c(CCCc2csc3nc(N)nc(N)c23)c1,CHEMBL104379,=,=,IC50,nM,24000.0,IC50,uM,24.0
COc1ccc(OC)c(-c2sc3nc(N)nc(N)c3c2C)c1,CHEMBL323960,=,=,IC50,nM,4800.0,IC50,uM,4.8
COc1ccc(OC)c(-c2sc3nc(N)nc(N)c3c2C)c1,CHEMBL323960,=,=,IC50,nM,130.0,IC50,uM,0.13
COc1ccc(OC)c(CCc2sc3nc(N)nc(N)c3c2C)c1,CHEMBL322585,=,=,IC50,nM,1200.0,IC50,uM,1.2
COc1ccc(OC)c(CCc2sc3nc(N)nc(N)c3c2C)c1,CHEMBL322585,=,=,IC50,nM,3300.0,IC50,uM,3.3
COC(=O)CCCCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL13796,=,=,Ki,nM,0.86,Ki,nM,0.86
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,Ki,nM,1.3,Ki,nM,1.3
COc1cc(Cc2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CHEMBL322315,>,>,IC50,nM,8000.0,IC50,uM,8.0
COc1cc(Cc2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CHEMBL322315,=,=,IC50,nM,630.0,IC50,uM,0.63
Cc1sc2nc(N)nc(N)c2c1-c1ccc(Cl)cc1,CHEMBL107079,>,>,IC50,nM,100000.0,IC50,uM,100.0
Cc1sc2nc(N)nc(N)c2c1-c1ccc(Cl)cc1,CHEMBL107079,>,>,IC50,nM,70000.0,IC50,uM,70.0
COc1cc(CCc2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CHEMBL322861,>,>,IC50,nM,8000.0,IC50,uM,8.0
COc1cc(CCc2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CHEMBL322861,=,=,IC50,nM,18000.0,IC50,uM,18.0
Nc1nc(N)c2c3c(sc2n1)CCCCCCCCCC3,CHEMBL104770,>,>,IC50,nM,50000.0,IC50,uM,50.0
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CHEMBL119,=,=,IC50,nM,42.0,IC50,uM,0.042
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CHEMBL119,=,=,IC50,nM,10.0,IC50,uM,0.01
CCc1cccc2nc(N)nc(N)c12,CHEMBL140245,=,=,IC50,nM,158489319.25,Log 1/I50,,0.8
CCSc1cccc2nc(N)nc(N)c12,CHEMBL344047,=,=,IC50,nM,630957344.48,Log 1/I50,,0.2
Nc1nc(N)c2c(Cl)cccc2n1,CHEMBL266320,=,=,IC50,nM,100000000.0,Log 1/I50,,1.0
Nc1nc(N)c2c(I)cccc2n1,CHEMBL136771,=,=,IC50,nM,630957344.48,Log 1/I50,,0.2
Nc1nc(N)c2c(OCc3ccccc3)cccc2n1,CHEMBL342595,<,>,IC50,nM,1000000000.0,Log 1/I50,,0.0
Nc1nc(N)c2c(S(=O)(=O)c3ccccc3)cccc2n1,CHEMBL139392,<,>,IC50,nM,10000000.0,Log 1/I50,,2.0
Nc1nc(N)c2c(Sc3ccccc3)cccc2n1,CHEMBL100239,=,=,IC50,nM,501187233.63,Log 1/I50,,0.3
Nc1nc(N)c2c([N+](=O)[O-])cccc2n1,CHEMBL139209,=,=,IC50,nM,10000000.0,Log 1/I50,,2.0
CSc1cccc2nc(N)nc(N)c12,CHEMBL139363,=,=,IC50,nM,100000000.0,Log 1/I50,,1.0
Nc1nc(N)c2c(Br)cccc2n1,CHEMBL344910,=,=,IC50,nM,158489319.25,Log 1/I50,,0.8
Nc1nc(N)c2ccccc2n1,CHEMBL268354,=,=,IC50,nM,100000000.0,Log 1/I50,,1.0
CN(C)c1cccc2nc(N)nc(N)c12,CHEMBL336468,=,=,IC50,nM,100000000.0,Log 1/I50,,1.0
CC(C)Oc1cccc2nc(N)nc(N)c12,CHEMBL344386,<,>,IC50,nM,1000000000.0,Log 1/I50,,0.0
CCOc1cccc2nc(N)nc(N)c12,CHEMBL343382,=,=,IC50,nM,630957344.48,Log 1/I50,,0.2
CCc1nc(N)nc(N)c1-c1ccc(N(C)Cc2ccccc2)c([N+](=O)[O-])c1,CHEMBL56170,=,=,IC50,nM,900.0,I50,M,9E-7
Nc1nc(N)c2c(N3CCCCC3)cccc2n1,CHEMBL436600,<,>,IC50,nM,1000000000.0,Log 1/I50,,0.0
CCCSc1cccc2nc(N)nc(N)c12,CHEMBL336047,=,=,IC50,nM,1000000000.0,Log 1/I50,,0.0
NC(=O)c1cccc2nc(N)nc(N)c12,CHEMBL337786,<,>,IC50,nM,1000000000.0,Log 1/I50,,0.0
CS(=O)(=O)c1cccc2nc(N)nc(N)c12,CHEMBL138244,<,>,IC50,nM,1000000000.0,Log 1/I50,,0.0
COc1cccc2nc(N)nc(N)c12,CHEMBL343543,=,=,IC50,nM,50118723.36,Log 1/I50,,1.3
COC(=O)c1cccc2nc(N)nc(N)c12,CHEMBL139466,=,=,IC50,nM,19952623.15,Log 1/I50,,1.7
CCCOc1cccc2nc(N)nc(N)c12,CHEMBL139184,=,=,IC50,nM,630957344.48,Log 1/I50,,0.2
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,IC50,nM,10000000.0,Log 1/I50,,2.0
CCCNC(=O)c1cccc2nc(N)nc(N)c12,CHEMBL138672,<,>,IC50,nM,1000000000.0,Log 1/I50,,0.0
Nc1nc(N)c2c(N)cccc2n1,CHEMBL139487,<,>,IC50,nM,1000000000.0,Log 1/I50,,0.0
Cc1cccc2nc(N)nc(N)c12,CHEMBL7077,=,=,IC50,nM,501187233.63,Log 1/I50,,0.3
Nc1nc(N)c2c(CCc3ccccc3)cccc2n1,CHEMBL341703,=,=,IC50,nM,630957344.48,Log 1/I50,,0.2
Nc1nc(N)c2c(Oc3ccccc3)cccc2n1,CHEMBL343286,=,=,IC50,nM,501187233.63,Log 1/I50,,0.3
Nc1nc(N)c2c(N3CCOCC3)cccc2n1,CHEMBL137917,<,>,IC50,nM,1000000000.0,Log 1/I50,,0.0
Nc1nc(N)c2c(F)cccc2n1,CHEMBL342269,=,=,IC50,nM,630957344.48,Log 1/I50,,0.2
CCCCCCOc1cccc2nc(N)nc(N)c12,CHEMBL139426,=,=,IC50,nM,501187233.63,Log 1/I50,,0.3
Nc1nc(N)c2c(O)cccc2n1,CHEMBL139185,<,>,IC50,nM,1000000000.0,Log 1/I50,,0.0
CCCCOc1cccc2nc(N)nc(N)c12,CHEMBL341590,=,=,IC50,nM,398107170.55,Log 1/I50,,0.4
COc1cc(Cc2cnc(N)nc2N)cc(CC(C)O)c1O,CHEMBL303075,=,=,IC50,nM,8.4,I50,M,8.4E-9
C=CCOc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL57878,=,=,IC50,nM,600.0,I50,M,6E-7
C=CCOc1ccc(Cc2cnc(N)nc2N)cc1OC,CHEMBL412892,=,=,IC50,nM,54.0,I50,M,5.4E-8
C/C=C/c1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL23338,=,=,IC50,nM,3.2,I50,M,3.2E-9
C/C=C/c1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL23338,=,=,Ki,nM,0.9,Ki,nM,0.9
C=CCc1cc(Cc2cnc(N)nc2N)ccc1O,CHEMBL59952,=,=,IC50,nM,150.0,I50,M,1.5E-7
CCCc1cc(Cc2cnc(N)nc2N)cc(CC)c1OC,CHEMBL279455,=,=,IC50,nM,12.0,I50,M,1.2E-8
CCCc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL278345,=,=,IC50,nM,3.7,I50,M,3.7E-9
CCCc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL278345,=,=,Ki,nM,0.4,Ki,nM,0.4
CCOc1cc(Cc2cnc(N)nc2N)cc2c1OCO2,CHEMBL58908,=,=,IC50,nM,41.0,I50,M,4.1E-8
CCCc1cc(Cc2cnc(N)nc2N)cc(CCC)c1O,CHEMBL23746,=,=,IC50,nM,7.0,I50,M,7E-9
CCCc1cc(Cc2cnc(N)nc2N)cc(CCC)c1O,CHEMBL23746,=,=,Ki,nM,1.7,Ki,nM,1.7
C=CCc1cc(Cc2cnc(N)nc2N)cc(CC=C)c1OC,CHEMBL301236,=,=,IC50,nM,6.9,I50,M,6.9E-9
C=CCc1cc(Cc2cnc(N)nc2N)cc(CCC)c1OC,CHEMBL58550,=,=,IC50,nM,15.0,I50,M,1.5E-8
C=CCc1cc(Cc2cnc(N)nc2N)cc(CCC)c1OC,CHEMBL58550,=,=,Ki,nM,1.6,Ki,nM,1.6
Cc1cc(Cc2cnc(N)nc2N)cc2c1OC(C)(C)C2,CHEMBL291540,=,=,IC50,nM,55.0,I50,M,5.5E-8
CCCc1cc(Cc2cnc(N)nc2N)cc(CCC)c1OC,CHEMBL26337,=,=,IC50,nM,44.0,I50,M,4.4E-8
C=CCc1cc(Cc2cnc(N)nc2N)cc(CCC)c1O,CHEMBL24503,=,=,IC50,nM,24.0,I50,M,2.4E-8
C=CCc1cc(Cc2cnc(N)nc2N)cc(OC)c1O,CHEMBL59416,=,=,IC50,nM,1.2,I50,M,1.2E-9
C=CCc1cc(Cc2cnc(N)nc2N)cc(OC)c1O,CHEMBL59416,=,=,Ki,nM,0.8,Ki,nM,0.8
C/C=C/c1cc(Cc2cnc(N)nc2N)cc(CCC)c1OC,CHEMBL60821,=,=,IC50,nM,36.0,I50,M,3.6E-8
CCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL60069,<,<,IC50,nM,4.5,I50,M,4.5E-9
CCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL60069,=,=,Ki,nM,1.0,Ki,nM,1.0
CCCc1cc(Cc2cnc(N)nc2N)cc2c1OC(C)C2,CHEMBL61356,=,=,IC50,nM,21.0,I50,M,2.1E-8
CCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL23609,=,=,IC50,nM,4.0,I50,M,4E-9
CCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL23609,=,=,Ki,nM,0.5,Ki,nM,0.5
C=CCc1cc(Cc2cnc(N)nc2N)cc(CC=C)c1O,CHEMBL59470,=,=,IC50,nM,24.0,I50,M,2.4E-8
C=CCOc1ccc(Cc2cnc(N)nc2N)cc1CC=C,CHEMBL61357,=,=,IC50,nM,73.0,I50,M,7.3E-8
CCCc1cc(Cc2cnc(N)nc2N)cc2c1OC(C)(C)C2,CHEMBL301629,=,=,IC50,nM,280.0,I50,M,2.8E-7
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,IC50,nM,5.0,I50,M,5E-9
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,Ki,nM,1.3,Ki,nM,1.3
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,IC50,nM,6.0,I50,M,6E-9
COc1cc(Cc2cnc(N)nc2N)ccc1O,CHEMBL59369,=,=,IC50,nM,66.0,I50,M,6.6E-8
C=CCc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL282022,<,<,IC50,nM,10.0,I50,M,1E-8
C=CCc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL282022,=,=,Ki,nM,1.8,Ki,nM,1.8
CCCc1cc(Cc2cnc(N)nc2N)cc2c1OC(C)C2C,CHEMBL61857,=,=,IC50,nM,13.0,I50,M,1.3E-8
C=CCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL59946,=,=,IC50,nM,8.1,I50,M,8.1E-9
C/C=C/c1cc(Cc2cnc(N)nc2N)cc(/C=C/C)c1OC,CHEMBL301030,<,<,IC50,nM,5.0,I50,M,5E-9
CCc1cc(Cc2cnc(N)nc2N)cc2c1OC(C)C2,CHEMBL58481,=,=,IC50,nM,19.0,I50,M,1.9E-8
COc1cc(CC2=CC(Cc3cc(OC)c(O)c(OC)c3)C(=O)N=C2N)cc(OC)c1O,CHEMBL126239,=,=,IC50,nM,13000000.0,I50,M,0.013
Cc1cc(Cc2cnc(N)nc2N)cc(Cl)c1N,CHEMBL116828,=,=,IC50,nM,130.0,I50,M,1.3E-7
Nc1ncc(Cc2cccc(CO)c2)c(N)n1,CHEMBL32067,=,=,Activity,,6.28,Activity,,6.28
CCCCOc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL31946,=,=,Activity,,6.82,Activity,,6.82
Nc1ncc(Cc2ccc(Cl)cc2)c(N)n1,CHEMBL280884,=,=,Activity,,6.45,Activity,,6.45
COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,CHEMBL291931,=,=,Activity,,7.66,Activity,,7.66
COc1c(C)c(C)c(Cc2cnc(N)nc2N)c(C)c1C,CHEMBL119891,=,=,IC50,nM,310.0,I50,M,3.1E-7
CC(C)(C)c1cc(Cc2cnc(N)nc2N)cc(C(C)(C)C)c1O,CHEMBL277176,=,=,IC50,nM,170.0,I50,M,1.7E-7
CS(=O)(=O)Oc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL298955,=,=,Activity,,6.6,Activity,,6.6
COc1ccc(Cc2cnc(N)nc2N)cc1OC,CHEMBL19633,=,=,Activity,,7.72,Activity,,7.72
COc1cc(Cc2cnc(N)nc2N)cc(OCC(=O)O)c1OC,CHEMBL14201,=,=,Kd,,1.2,Kd,,1.2
COc1cc(Cc2cnc(N)nc2N)cc(OCC(=O)O)c1OC,CHEMBL14201,=,=,Ki,nM,2.6,Ki,nM,2.6
CCc1cc(Cc2cnc(N)nc2N)cc(C)c1O,CHEMBL24430,=,=,IC50,nM,19.0,I50,M,1.9E-8
Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,CHEMBL274031,=,=,Activity,,6.99,Activity,,6.99
COCCOc1ccc(Cc2cnc(N)nc2N)cc1OCCOC,CHEMBL31402,=,=,Activity,,7.22,Activity,,7.22
